,LONGITUDE,LATITUDE,ADDRESSBLOCKHOUSENUMBER,EST_ORIGINAL_COMPLETION_DATE,STATUS,LANDYADDRESSPOINT,PHOTOURL,DESCRIPTION,NAME,ADDRESSTYPE,HUP_COMPLETION_DATE,LANDXADDRESSPOINT,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,ADDRESS_MYENV,INC_CRC,FMEL_UPD_D,APPROXIMATE_GFA,AWARDED_DATE,ADDRESSBUILDINGNAME,IMPLEMENTATION_DATE,CLEANINGSTARTDATE,INFO_ON_CO_LOCATORS,CLEANINGENDDATE,RNR_STATUS
45,103.827358017197,1.28882210205212,38A,1965,Existing,30136.920000000002,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267807628554.jpg,HUP Standard Upgrading,Beo Crescent Market,I,18/1/2010,27336.64,Beo Crescent,169982,"38A, Beo Crescent, Singapore 169982",D232402B6D84FBBE,20210330151704,1733.074,,,,,,,
46,103.856853966617,1.30733651651517,166,1975,Existing,32184.16,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176120532.jpg,HUP Standard Upgrading,Berseh Food Centre,I,5/3/2004,30619.27,Jalan Besar,208877,"166, Jalan Besar, Singapore 208877",A7CCEB2CA6AC0B4B,20210330151704,2568.95,,,,,,,
47,103.712799765872,1.3452231627967,221A/B,2/1/1976,Existing,36373.79,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154766447.jpg,HUP Reconfiguration,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),I,1/8/2004,14587.57,Boon Lay Place,641221,"Blk 221A/B, Boon Lay Place, Singapore 641221/642221",84F8C2B46575585C,20210330151704,,,,,,,,
48,103.850530969624,1.30620584090733,665,31/10/1980,Existing,32059.13,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156313186.jpg,HUP Standard Upgrading,Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),I,30/6/2009,29915.58,Buffalo Road,210665,"Blk 665, Buffalo Road, Singapore 210665",D09ADF3409AC0894,20210330151704,,,,,,,,
49,103.816992390295,1.28369258928085,163,5/5/1980,Existing,29569.73,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851995788.jpg,Opted out of HUP,Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),I,,26183.03,Bukit Merah Central,150163,"Blk 163, Bukit Merah Central, Singapore 150163",16F0047A45BF34F9,20210330151704,,,,,,,,
50,103.804489277779,1.28629777221659,120,14/9/1978,Existing,29857.81,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267852344747.jpg,HUP Standard Upgrading,Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),I,15/11/2010,24791.54,Bukit Merah Lane 1,150120,"Blk 120, Bukit Merah Lane, Singapore 150120",98A3C26D48032FF5,20210330151704,,,,,,,,
51,103.822049361292,1.28550478314618,115,29/3/1973,Existing,29770.11,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851251303.jpg,HUP Standard Upgrading,Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),I,28/2/2012,26745.83,Bukit Merah View,151115,"Blk 115, Bukit Merah View, Singapore 151115",7A2BDBF505C0CC30,20210330151704,,,,,,,,
52,103.772489583206,1.37760053528611,2,31/7/2015,Existing (new),39953.67,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bukit-panjang-hawker-centre.jpg,New Centre,Bukit Panjang Hawker Centre,,,21230.49,Bukit Panjang Ring Road,679947,"2 Bukit Panjang Ring Road, Singapore 679947",2FEB0DCC8CCF59D4,20210330151704,4500,,,,,,,
53,103.822399230842,1.44921660555282,,2022,Under Construction,47872.53,,New Centre,Bukit Canberra Hawker Centre,,,26784.850000000002,,,,DA1BB824290E5BA5,20210901151920,,1/5/2018,Bukit Canberra,17/5/2018,#N/A,hawker centre/Town Sports and Recreational Centre/Primary Care Centre & Senior Care Centre,#N/A,#N/A
54,103.848973726501,1.28159564281228,5,24/5/2017,Existing,29337.86,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262225979894.jpg,Interim Centre,Market Street Interim Hawker Centre,,,29742.29,Cross Street,48418,"5, Cross Street, Singapore 048148",2120FA820A4A9786,20210330151704,1817.18,,Market Street Interim Hawker Centre,,,,,
55,103.777203165702,1.44388181695611,20/21,15/9/1975,Existing,47282.71,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152527264.jpg,HUP Standard Upgrading,Marsiling Lane Blk 20/21,I,2/3/2009,21755.23,Marsiling Lane,730020,"Blk 20/21, Marsiling Lane, Singapore 730020/730021",F48BB5AA1CD92E13,20210330151704,,,,,,,,
56,103.779784899996,1.43353885680037,4,8/11/2017,Existing (new),46139.03,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/mmhc.jpg,New Replacement Centre,Marsiling Mall Hawker Centre,,,22042.510000000002,Woodlands Street 12,738623,"Blk 4,Woodlands St 12,Singapore 738623",67D9A36B9A97AE82,20210330151704,3661,4/9/2015,Marsiling Mall,1/1/2016,,hawker centre/supermarket/shops,,
57,103.844827863123,1.28011223513205,1,1935,Existing,29173.83,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155734465.jpg,Upgraded prior to HUP,Maxwell Food Centre (Kim Hua Market),I,,29280.89,Kadayanallur Street,69184,"1, Kadayanallur Street, Singapore 069184",FE75522D464BE5EA,20210330151704,3365.392,,,,,,,
58,103.802903901116,1.29323622090658,159,12/10/1970,Existing,30625.03,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154581891.jpg,HUP Reconfiguration,Mei Chin Road Blk 159 (Mei Chin Road Market),I,8/5/2009,24615.11,Mei Chin Road,140159,"Blk 159, Mei Chin Road, Singapore 140159",58C10BCC7F14A9E6,20210330151704,,,,,,,,
59,103.842578750107,1.28499102169498,32,1965,Existing,29713.3,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168123284.jpg,HUP Standard Upgrading,New Market Road Blk 32 (People's Park Food Centre),I,27/12/2005,29030.58,New Market Road,50032,"Blk 32, New Market Road, Singapore 050032",431889D30CA6E5AD,20210330151704,,,,,,,,
60,103.93056047823,1.32473884451035,208B,15/11/2014,Existing,34108.62,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bedok-interchange-hawker-centre.jpg,New Replacement Centre,New Upper Changi Road Blk 208B,I,,38822.05,New Upper Changi Road,462208,"Blk 208B, New Upper Changi Road, Singapore 462208",03BAD66511FD945D,20210330151704,,,,,,,,
61,103.941132372619,1.32418782817919,58,27/2/1978,Existing,34047.74,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153263293.jpg,HUP Standard Upgrading,New Upper Changi Road Blk 58,I,16/9/2008,39998.6,New Upper Changi Road,461058,"Blk 58, New Upper Changi Road, Singapore 461058",57B99402997CB2CA,20210330151704,,,,,,,,
62,103.839562687644,1.31189235691653,500,1971,Existing,32687.91,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155777485.jpg,HUP Standard Upgrading,Newton Food Centre,I,12/6/2006,28694.91,Clemenceau Ave North,229495,"500, Clemenceau Ave North, Singapore 229495",A3E978497212B9F7,20210330151704,3252.75,,,,,,,
63,103.863891012338,1.30576537802761,861,1973,Existing,32010.440000000002,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155297184.jpg,HUP Reconfiguration,North Bridge Road Market,I,17/10/2005,31402.43,North Bridge Road,198783,"861, North Bridge Road, Singapore 198783",3B33AC4CEF5F6B1C,20210330151704,3004.63,,,,,,,
64,103.885833217727,1.30825156309798,51,17/2/1973,Existing,32285.39,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153198645.jpg,HUP Standard Upgrading,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),I,12/6/2007,33844.39,Old Airport Road,390051,"Blk 51, Old Airport Road, Singapore 390051",49DC3EB4330D8E97,20210330151704,,,,,,,,
65,103.939726160039,1.35386211773287,1,6/8/2016,Existing (new),37328.97,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/our-tampines-hub.jpg,New Centre,Our Tampines Hub,,,39841.96,Tampines Walk,528523,"1 Tampines Walk, Singapore 528523",17E2D59BE03D01F0,20210330151704,2241,7/5/2014,Our Tampines Hub,1/8/2013,,hawker centre/ community club  offices/regional library/heritage centre/swimming complex/sports facilities/branch hawker centre/office/national arts council/hometeam ns clubhouse/family medical centre/senior care centre,,
66,103.791402660553,1.27590752450201,121,1978,Existing,28708.93,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155813373.jpg,HUP Standard Upgrading,Pasir Panjang Food Centre,I,20/5/2002,23335.09,Pasir Panjang Road,118543,"121, Pasir Panjang Road, Singapore 118543",311FCFFE66B6917D,20210330151704,1115.71,,,,,,,
67,103.951543034782,1.37343413973246,110,16/10/2017,Existing (new),39493.21,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/pasir-ris-central-hawker-centre.jpg,New Centre,Pasir Ris Central Hawker Centre,,,41156.94,Pasir Ris Central,519641,"Blk 110, Pasir Ris Central, Singapore 519641",0EC198F965C801F8,20210330151704,4771,15/7/2015,Pasir Ris Central Hawker Centre,29/7/2015,,,,
68,103.854211645499,1.30100146521405,270,7/8/1978,Existing,31483.66,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267850253199.jpg,HUP Standard Upgrading,Queen Street Blk 270 (Albert Centre),I,26/11/2009,30325.21,Queen Street,180270,"Blk 270, Queen Street, Singapore 180270",0906CEDC0663C53A,20210330151704,,,,,,,,
